,Gene Name,#PE = 1,#PE = 2,#PE = 3,#PE = 4,#PE = 5
537,TARS2 ,0,0,5,0,0
538,AMPD1 ,2,0,0,0,0
539,LOC100513844 ,0,0,1,0,0
540,CCRL2 ,0,1,0,0,0
541,LRRC72 ,0,0,0,1,0
542,CRYGC ,0,0,1,0,0
543,MRPL16 ,1,0,0,0,0
544,CYP4F52 ,0,0,2,0,0
545,TNIK ,0,1,0,5,0
546,ST3GAL5 ,0,0,3,0,0
547,SLC25A13 ,9,0,0,0,0
548,KRT39 ,0,0,1,0,0
549,HINT3 ,1,0,0,0,0
550,SECISBP2 ,0,0,0,2,0
551,FBXL2 ,0,0,0,3,0
552,LOC110259716 ,0,0,1,0,0
553,LOC100622780 ,3,0,0,0,0
554,COX19 ,0,0,0,1,0
555,MS4A15 ,0,0,2,0,0
556,INO80B ,0,0,0,1,0
557,GABRA4 ,0,0,1,0,0
558,URM1 ,0,0,1,1,0
559,TIA1 ,0,0,0,6,0
560,IQGAP3 ,0,0,0,2,0
561,ARPC5 ,1,0,0,0,0
562,FOXC1 ,0,0,0,1,0
563,LTA4H ,1,0,0,0,0
564,SMUG1 ,2,0,0,0,0
565,CAP1 ,2,0,0,0,0
566,LOC110257886 ,0,0,1,0,0
567,COPB1 ,1,1,0,0,0
568,GDF10 ,0,0,1,0,0
569,MAN2B2 ,1,0,3,0,0
570,POLR3B ,0,0,2,2,0
571,LOC100620090 ,0,0,1,0,0
572,LOC100519758 ,0,0,1,0,0
573,GAS2 ,0,0,0,3,0
574,CLDN25 ,0,0,1,0,0
575,FAM241B ,2,0,0,0,0
576,FNIP1 ,0,0,1,1,0
577,SEMA4A ,2,0,0,0,0
578,KCNK15 ,0,0,1,0,0
579,LOC100515044 ,0,0,0,1,0
580,IL29 ,0,0,1,0,0
581,HIP1R ,1,0,0,0,0
582,MMP16 ,0,0,2,0,0
583,CPS1 ,2,0,0,0,0
584,TTC24 ,0,0,0,1,0
585,HDC ,0,0,2,0,0
586,HNRNPUL2 ,2,0,0,0,0
